func_sigla,func_desc,func_nivel
DIRI01,DIR. DE INFRAESTRUTURA E GESTÃO PORTUÁRIA,
DIRI02,DIRETOR DE GERAÇÃO DISTRIBUIDA,
DIRE05,VICE-PRESIDENTE,
BASICA,SECRETÁRIO DE ESTADO,
SEC,SECRETÁRIO DE ESTADO CHEFE DA CASA MILITAR,
SEC,SECRETÁRIO EXECUTIVO DA SEAP,
SECRET,"SECRETARIA DE ESTADO, DESIGNADO",
DAS-2,CARGO DE DIREÇÃO E ASSESSORAMENTO SUPERIOR-2,
IBAMET,"DIRETOR GERAL, RESPONDENDO",NA
DIRE04,DIRETORA,
DIRE01,DIRETOR DE GESTÃO DA CULTURA E DE PESSOAS,
SUP,SUPERINTENDENTE-GERAL,NA
DIRE01,DIRETOR DE FINANÇAS E NOVOS NEGÓCIOS,
DIRE02,DIRETOR DE FINANÇAS E NOVOS NEGÓCIOS,
DIRE04,DIRETOR DE FINANÇAS E NOVOS NEGÓCIOS,
DIRI03,DIRETOR DE ADMINISTRAÇÃO INTERINO,
DIRI02,DIRETOR DE ESTUDOS ECONÔMICO-ENERGÉTICOS E AMBIENTAIS,
DIRI04,DIRETOR DE ESTUDOS ECONÔMICO-ENERGÉTICOS E AMBIENTAIS,
DIRI05,DIRETOR INTERINO DE GESTÃO CORPORATIVA,
DIRI08,DIRETOR,
PREE06,PRESIDENTE,
PREE07,PRESIDENTE,
DIRE01,DIRETOR DE INOVAÇÃO,
DIRE01,DIRETOR DE ATENDIMENTO E CANAIS,
DIRE02,DIRETOR DE ATENDIMENTO E CANAIS,
DIRE01,DIRETOR-EXECUTIVO DE NEGÓCIOS - DENE,
DIRE02,DIRETOR DE FINANÇAS E GESTÃO CORPORATIVA,
DIRE03,DIRETOR FINANCEIRO,
DIRE04,DIRETOR FINANCEIRO,
DIRE05,DIRETOR FINANCEIRO,
DIRI02,DIRETOR FINANCEIRO,
PREE01,DIRETOR ADMINISTRATIVO FIANNCEIRO,
DIRE01,DIRETOR ADMINISTRATIVO E FINANCEIRO DA CODERN,
DIRE02,DIRETOR ADMINISTRATIVO E FINANCEIRO DA CODERN,
DIRE01,DIRETOR DE GESTAO DO CONHECIMENTO E PESSOAS,
CE-2,DIR. DE TEC. DA INFORMAÇÃO E COMUNICAÇÃO,
SEC,SECRETÁRIA DE ESTADO DOS DIREITOS DA PESSOA COM DEFICIÊNCIA,
SEC,SECRETÁRIA EXECUTIVA DA SEPED,
PRES,PRESIDENTE DA COMISSÃO GERAL DE LICITAÇÃO,
SECRET,SECRETÁRIO DE ESTADO,
DIR,DIRETOR-PRESIDENTE DO DEPARTAMENTO EST. DE TRÂNSITO DO AM,
CDS-2,SECRETÁRIO EXECUTIVO DA INFRAESTRUTURA E RECURSOS HÍDRICOS,
SEC,SECRETARIO EXECUTIVO DA INFRAESTRUTURA E RECURSOS HIDRICOS,NA
DIRE01,DIRETOR DE ASSUNTOS REGULATÓRIOS,
SEC,SECRETÁRIA EXECUTIVA DA SEJUSC,
DIRE01,DIRETOR DE PRODUÇÃO,
PRESID,PRESIDENTE DA JUCER,
SECRET,SECRETÁRIO DE ESTADO DE FINANÇAS,
SECRET,SECRETÁRIO-SUBCHEFE DA CASA CIVIL,
DS-2,DIR. EXEC. DE GESTÃO E APOIO ESTRATÉGICO,
CCS-2,DIRETOR TÉCNICO,
CCS-2,DIR. PRESIDENTE,
BASICA,PROCURADOR-GERAL DO ESTADO,
DIRE01,DIRETORIA DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,
DIRE02,DIRETOR DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,
DAS,DIRETOR DE DEPARTAMENTO,1016
DIRE01,DIRETOR DE EMPREENDIMENTOS,
DIRE02,DIRETOR DE EMPREENDIMENTOS,
DIRE02,DIRETOR-PRESIDENTE,
PREE02,DIRETOR ADMINISTRATIVO,
DIRE02,"DIRETOR DE FINANÇAS, RI E GESTÃO DAS PARTICIPAÇÕES",
DIRE01,"DIRETOR DE TRANSPORTE MARÍTIMO, DUTOS E TERMINAIS",
SECRET,SECRETÁRIO DE ESTADO DA SAÚDE,
DIRE01,DIRETOR DE COMERCIALIZAÇÃO E REGULAÇÃO,
DIRE03,DIRETOR DE COMERCIALIZAÇÃO E REGULAÇÃO,
DIRI02,DIRETOR DE OPERAÇÃO,
ASSESS,ASSESSOR,
SECRET,SECRETÁRIO EXECUTIVO DO GABINETE DO GOVERNADOR,
