func_sigla,func_desc,func_nivel
DIRE01,DIR. DE CONTROLADORIA,
DIRETO,DIRETOR GERAL ADJUNTO,
DIRE01,DIR. DE ENGENHARIA E OPERAÇÕES,
DIRE01,DIRETOR ECONÔMICO-FINANCEIRO,
SEC,SECRETÁRIO CHEFE DO GOVERNO,NA
DIRE01,DIRETOR DE GOVERNANÇA RISCOS E COMPLIANCE,
PREE01,DIRETOR VICE-PRESIDENTE,
SEC,SECRETÁRIO EXECUTIVO DA VICE-GOVERNADORIA,
DIRE01,DIRETOR DE GERAÇÃO,
DIRE01,DIRETORA DE ADMINISTRAÇÃO,
DIRE01,DIR. FINANCEIRO E DE RELAÇÕES C  INVESTIDORES,
CAS-2,DIR. OPERAÇÕES,
DIRE01,DIRETOR DE ATENÇÃO Á SAÚDE,
CE-2,DIR. DESENVOLVIMENTO,
DIRE01,DIRETOR-EXECUTIVO COMERCIAL E DE PRODUTOS,
PREE03,DIRETOR PRESIDENTE,
CONTR,CONTROLADOR-GERAL DO ESTADO DO AMAZONAS,
SEC,SECRETÁRIO DE ESTADO CHEFE DA CASA CIVIL,
SEC,"SECRETÁRIO DE ESTADO DE JUST., DIREITOS HUMANOS E CIDADANIA",
DIRE01,DIRETOR EXECUTIVO FINANCEIRO,
PREE01,DIRETOR,
DIRI01,VICE-PRESIDENTE DE NEGÓCIOS PÚBLICOS,
CAS-2,DIRETOR DE DESENVOLVIMENTO ECONÔMICO,
DIRE01,DIRETOR DE INOVAÇÃO E MERCADO,
DIRE02,DIRETOR ADMINISTRATIVO-FINANCEIRO,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DA CASA MILITAR,
DIRE02,DIRETOR FINANCEIRO,
DIRE01,DIRETOR DE INFRAESTRUTURA E GESTÃO PORTUÁRIA - DIP,
DIRE01,DIRETOR DE MERCADO,
SUPERI,SUPERINT ESTAD DE DESENVOLVIMENTO ECONÔMICO E INFRAESTRUTURA,
SUPERI,SUPERINTENDENTE ESTADUAL DE COMUNICAÇÃO,
MINTSE,MINISTRO CORREGEDOR DO TRIBUNAL SUPERIOR ELEITORAL,
